20
1;1;15;8;8;10;9;10;10;10
1;1;15;8;9;10;10;10;11;10
1;1;15;8;10;10;11;10;12;10
1;1;15;8;11;10;12;10;13;10
1;1;15;8;12;10;13;10;14;10
1;1;15;8;13;10;14;10;15;10
1;1;15;8;14;10;15;10;16;10
1;1;15;8;15;10;16;10;17;10
1;1;15;8;16;10;17;10;18;10
0;1;15;8;17;10;18;10;19;10
0;0;15;8;18;10;19;10;19;9
0;0;15;8;19;10;19;9;19;8
0;0;15;8;19;9;19;8;19;7
0;0;15;8;19;8;19;7;19;6
0;0;15;8;19;7;19;6;19;5
0;0;15;8;19;6;19;5;19;4
3;0;15;8;19;5;19;4;19;3
3;3;15;8;19;4;19;3;18;3
3;3;15;8;19;3;18;3;17;3
3;3;15;8;18;3;17;3;16;3
3;3;15;8;17;3;16;3;15;3
3;3;15;8;16;3;15;3;14;3
3;3;15;8;15;3;14;3;13;3
3;3;15;8;14;3;13;3;12;3
3;3;15;8;13;3;12;3;11;3
3;3;15;8;12;3;11;3;10;3
3;3;15;8;11;3;10;3;9;3
3;3;15;8;10;3;9;3;8;3
2;3;15;8;9;3;8;3;7;3
2;2;15;8;8;3;7;3;7;4
2;2;15;8;7;3;7;4;7;5
2;2;15;8;7;4;7;5;7;6
2;2;15;8;7;5;7;6;7;7
2;2;15;8;7;6;7;7;7;8
2;2;15;8;7;7;7;8;7;9
2;2;15;8;7;8;7;9;7;10
2;2;15;8;7;9;7;10;7;11
2;2;15;8;7;10;7;11;7;12
2;2;15;8;7;11;7;12;7;13
2;2;15;8;7;12;7;13;7;14
2;2;15;8;7;13;7;14;7;15
1;2;15;8;7;14;7;15;7;16
1;1;15;8;7;15;7;16;8;16
1;1;15;8;7;16;8;16;9;16
1;1;15;8;8;16;9;16;10;16
1;1;15;8;9;16;10;16;11;16
1;1;15;8;10;16;11;16;12;16
1;1;15;8;11;16;12;16;13;16
1;1;15;8;12;16;13;16;14;16
1;1;15;8;13;16;14;16;15;16
1;1;15;8;14;16;15;16;16;16
1;1;15;8;15;16;16;16;17;16
1;1;15;8;16;16;17;16;18;16
1;1;15;8;17;16;18;16;19;16
