20
1;1;19;4;8;10;9;10;10;10
1;1;19;4;9;10;10;10;11;10
1;1;19;4;10;10;11;10;12;10
1;1;19;4;11;10;12;10;13;10
1;1;19;4;12;10;13;10;14;10
1;1;19;4;13;10;14;10;15;10
1;1;19;4;14;10;15;10;16;10
1;1;19;4;15;10;16;10;17;10
1;1;19;4;16;10;17;10;18;10
1;1;19;4;17;10;18;10;19;10
1;0;19;4;18;10;19;10;19;9
1;3;19;4;19;10;19;9;18;9
1;2;19;4;19;9;18;9;18;10
1;2;19;4;18;9;18;10;18;11
1;2;19;4;18;10;18;11;18;12
1;2;19;4;18;11;18;12;18;13
1;2;19;4;18;12;18;13;18;14
1;2;19;4;18;13;18;14;18;15
1;2;19;4;18;14;18;15;18;16
1;2;19;4;18;15;18;16;18;17
1;2;19;4;18;16;18;17;18;18
1;2;19;4;18;17;18;18;18;19
