20
1;1;14;16;8;10;9;10;10;10
1;1;14;16;9;10;10;10;11;10
1;1;14;16;10;10;11;10;12;10
1;1;14;16;11;10;12;10;13;10
1;1;14;16;12;10;13;10;14;10
2;1;14;16;13;10;14;10;15;10
2;2;14;16;14;10;15;10;15;11
2;2;14;16;15;10;15;11;15;12
2;2;14;16;15;11;15;12;15;13
2;2;14;16;15;12;15;13;15;14
2;2;14;16;15;13;15;14;15;15
3;2;14;16;15;14;15;15;15;16
3;3;6;13;15;15;15;15;15;16;14;16
3;3;6;13;15;15;15;16;14;16;13;16
3;3;6;13;15;16;14;16;13;16;12;16
3;3;6;13;14;16;13;16;12;16;11;16
3;3;6;13;13;16;12;16;11;16;10;16
3;3;6;13;12;16;11;16;10;16;9;16
3;3;6;13;11;16;10;16;9;16;8;16
3;3;6;13;10;16;9;16;8;16;7;16
3;3;6;13;9;16;8;16;7;16;6;16
3;3;6;13;8;16;7;16;6;16;5;16
0;3;6;13;7;16;6;16;5;16;4;16
0;0;6;13;6;16;5;16;4;16;4;15
0;0;6;13;5;16;4;16;4;15;4;14
0;0;6;13;4;16;4;15;4;14;4;13
0;0;6;13;4;15;4;14;4;13;4;12
0;0;6;13;4;14;4;13;4;12;4;11
0;0;6;13;4;13;4;12;4;11;4;10
0;0;6;13;4;12;4;11;4;10;4;9
0;0;6;13;4;11;4;10;4;9;4;8
0;0;6;13;4;10;4;9;4;8;4;7
1;0;6;13;4;9;4;8;4;7;4;6
1;1;6;13;4;8;4;7;4;6;5;6
1;1;6;13;4;7;4;6;5;6;6;6
1;1;6;13;4;6;5;6;6;6;7;6
1;1;6;13;5;6;6;6;7;6;8;6
1;1;6;13;6;6;7;6;8;6;9;6
1;1;6;13;7;6;8;6;9;6;10;6
1;1;6;13;8;6;9;6;10;6;11;6
1;1;6;13;9;6;10;6;11;6;12;6
1;1;6;13;10;6;11;6;12;6;13;6
2;1;6;13;11;6;12;6;13;6;14;6
2;2;6;13;12;6;13;6;14;6;14;7
2;2;6;13;13;6;14;6;14;7;14;8
2;2;6;13;14;6;14;7;14;8;14;9
2;2;6;13;14;7;14;8;14;9;14;10
2;2;6;13;14;8;14;9;14;10;14;11
2;2;6;13;14;9;14;10;14;11;14;12
2;2;6;13;14;10;14;11;14;12;14;13
2;2;6;13;14;11;14;12;14;13;14;14
2;2;6;13;14;12;14;13;14;14;14;15
2;2;6;13;14;13;14;14;14;15;14;16
2;2;6;13;14;14;14;15;14;16;14;17
2;2;6;13;14;15;14;16;14;17;14;18
2;2;6;13;14;16;14;17;14;18;14;19
